event_max_performers,event_type,event_entertainment_category,event_business_category,event_within_company,event_industry_type,event_emirate,event_exhibition,ticketing_category,ticketing_is_event_free,ticketing_is_reg_desk,ticketing_is_print_badges,ticketing_badge_assist,ticketing_is_walkin_expect,ticketing_selling_option,ticketing_is_complementary_pass,Price,standardized_venue,event_duration_days,days_until_event,event_month,event_day_of_week,selling_duration_days
-0.3011629084819565,business,,"conference, exhibition, networking",no,other,,yes,free_ticketed,yes,yes,yes,,yes,no,6.161901526884862,1770.0,intercontinental festival city,0.30345549248753495,0.4293561511847365,0.6848761746424193,-0.8828691711071565,-0.41129348058691745
-0.3011629084819565,business,,"conference, exhibition, meeting, networking",no,education,Dubai,yes,free_ticketed,yes,yes,yes,no,no,no,-0.19991117172225772,1770.0,atlantis,0.30345549248753495,0.4293561511847365,0.6848761746424193,-0.8828691711071565,1.6153884160493874
-0.3011629084819565,business,,seminar,no,education,Dubai,no,free_ticketed,yes,yes,no,,no,no,-0.19991117172225772,1270.0,knowledge park,-0.827605888602368,-0.20345307817577424,0.29487724185993053,0.26626213096882495,-0.41129348058691745
-0.3011629084819565,business,,conference,no,other,Dubai,yes,free_ticketed,yes,yes,no,no,yes,no,-0.25643777889889613,1770.0,sheraton grand trade centre,0.30345549248753495,-1.3156632388700054,-0.4851206237050472,-0.8828691711071565,-0.38531037934799045
-0.3011629084819565,business,,conference,no,other,,no,free_ticketed,no,yes,yes,,no,no,-0.19991117172225772,1270.0,millennium airport,0.30345549248753495,-1.334839276123354,-0.4851206237050472,-1.4574348221451472,-0.41129348058691745
-0.3011629084819565,business,,meeting,yes,financials,Dubai,no,non_ticketed,no,yes,yes,no,no,no,-0.25643777889889613,520.0,sheraton grand sheik zayed road,0.30345549248753495,-1.1239028663365171,-0.4851206237050472,0.8408277820068156,-0.41129348058691745
-0.3011629084819565,business,,"networking, seminar",no,other,Dubai,yes,paid_free,no,yes,yes,no,no,yes,-0.2101887366634647,1770.0,arjaan rotana media city,-0.827605888602368,0.7553487844916663,1.0748751074249083,0.8408277820068156,2.706678668084321
-0.3011629084819565,business,,"conference, networking",no,financials,Dubai,yes,paid_free,no,yes,yes,,no,yes,-0.004637437839325118,1770.0,habtoor palace,0.30345549248753495,0.25677181590459724,0.6848761746424193,1.9899590840827972,2.0051349346332925
1.943869682019901,business,,conference,yes,informationtechnology,Dubai,yes,,partial,yes,yes,no,yes,no,-0.19991117172225772,1270.0,museum future,0.30345549248753495,-0.8937904192963314,-0.09512169092255834,-0.3083035200691658,-0.41129348058691745
-0.3011629084819565,business,,"forum, networking",no,informationtechnology,Dubai,no,,no,yes,yes,no,no,yes,-0.19991117172225772,1270.0,knowledge park conference,-0.827605888602368,-1.0088466428164242,-0.09512169092255834,0.26626213096882495,0.13435164543054928
-0.3011629084819565,business,,seminar,no,education,Dubai,no,,yes,no,no,,no,,-0.19991117172225772,1270.0,knowledge park conference,-0.827605888602368,-0.4527415624693088,0.29487724185993053,0.8408277820068156,-0.41129348058691745
-0.46152237923208916,business,,summit,yes,other,Dubai,no,,yes,no,no,,no,,-0.19991117172225772,1270.0,dubai international financial centre,-0.827605888602368,-1.0280226800697732,-0.09512169092255834,-0.3083035200691658,-0.41129348058691745
-0.46152237923208916,business,,meeting,no,other,Dubai,no,,yes,yes,yes,no,no,,-0.19991117172225772,1270.0,sheraton grand,-0.827605888602368,-0.24180515268247185,0.29487724185993053,-0.8828691711071565,-0.41129348058691745
-0.46152237923208916,business,,conference,no,informationtechnology,Dubai,no,,yes,yes,yes,maybe,yes,,-0.19991117172225772,1270.0,to be confirmed,-0.827605888602368,-0.5102696742293552,0.29487724185993053,-0.8828691711071565,-0.41129348058691745
-0.46152237923208916,business,,exhibition,no,informationtechnology,Dubai,yes,,yes,no,no,no,yes,,-0.19991117172225772,1770.0,mall emirates,0.30345549248753495,-1.1239028663365171,-0.4851206237050472,1.4153934330448064,-0.41129348058691745
-0.46152237923208916,business,,seminar,no,other,Dubai,no,,yes,yes,yes,no,no,,-0.19991117172225772,1270.0,dubai international financial centre,-0.827605888602368,0.3334759649179925,0.6848761746424193,0.26626213096882495,-0.41129348058691745
-0.46152237923208916,business,,summit,no,medical,Dubai,no,,yes,yes,yes,no,no,,-0.19991117172225772,1270.0,raffles wafi,0.30345549248753495,-0.7212060840161921,-0.09512169092255834,0.8408277820068156,-0.41129348058691745
2.7456670357705644,business,,forum,no,other,Dubai,no,,yes,yes,yes,,yes,,-0.19991117172225772,1270.0,to be announced,3.696639635757244,0.5252363374514806,0.6848761746424193,1.9899590840827972,-0.41129348058691745
-0.46152237923208916,business,,summit,no,medical,Dubai,no,,yes,yes,yes,no,no,,-0.19991117172225772,1270.0,raffles wafi,0.30345549248753495,-0.4527415624693088,0.29487724185993053,0.8408277820068156,-0.41129348058691745
-0.46152237923208916,business,,seminar,no,medical,,no,,no,yes,yes,no,no,yes,-0.2615765613694996,1270.0,intercontinental marina,2.565578254667341,-0.932142493803029,-0.09512169092255834,-1.4574348221451472,-0.33334417687013645
-0.1408034377318238,business,music,networking,no,other,Dubai,yes,,no,no,no,,no,other,-0.19991117172225772,3370.0,secret garden jumeirah creekside,-0.827605888602368,0.8320529335050616,1.0748751074249083,-0.8828691711071565,1.9531687321554383
-0.46152237923208916,business,,conference,no,education,Dubai,no,,yes,no,no,no,no,,-0.19991117172225772,1270.0,grosvenor house,0.30345549248753495,-0.836262307536285,-0.09512169092255834,1.4153934330448064,-0.41129348058691745
-0.46152237923208916,business,,conference,no,other,,no,,yes,yes,yes,no,no,,-0.19991117172225772,1270.0,sheraton grand,-0.827605888602368,-0.24180515268247185,0.29487724185993053,-0.8828691711071565,-0.41129348058691745
-0.46152237923208916,business,,"conference, exhibition, summit",no,"telecommunicationservices, informationtechnology",Dubai,yes,,yes,yes,yes,no,no,,-0.19991117172225772,1770.0,ritz carlton jumeirah beach residence,0.30345549248753495,0.8320529335050616,1.0748751074249083,-0.8828691711071565,-0.41129348058691745
-0.46152237923208916,business,,conference,no,informationtechnology,Dubai,no,,no,yes,yes,maybe,yes,yes,-0.18449482431044725,1270.0,heriot watt university campus,1.4345168735774378,3.91939493129422,-1.6551174220525138,-0.8828691711071565,4.213698539942086
1.943869682019901,"business, entertainment",awardceremony,conference,yes,education,Dubai,no,,yes,no,yes,no,no,,-0.19991117172225772,4170.0,taj exotica palm,1.4345168735774378,-0.5102696742293552,0.29487724185993053,-0.8828691711071565,-0.41129348058691745
-0.46152237923208916,business,,"conference, summit",no,medical,Dubai,yes,,yes,yes,yes,no,no,,-0.19991117172225772,1770.0,sheraton grand,-0.827605888602368,-0.4527415624693088,0.29487724185993053,0.8408277820068156,-0.41129348058691745
-0.46152237923208916,business,,"conference, summit",no,medical,Dubai,yes,,yes,yes,yes,no,no,,-0.19991117172225772,1770.0,sheraton grand,0.30345549248753495,-0.3185093016958671,0.29487724185993053,0.8408277820068156,-0.41129348058691745
-0.46152237923208916,business,,seminar,no,medical,Dubai,yes,,yes,yes,yes,no,no,,-0.19991117172225772,1770.0,le royal meridien,-0.827605888602368,1.7333266844124557,-3.215113153182469,1.9899590840827972,-0.41129348058691745
